Date,Open,High,Low,Close,Adj Close,Volume
2000-06-26,8.194500,8.194500,8.188000,8.194500,8.194500,0
2000-07-03,8.194500,8.203800,8.123500,8.160000,8.160000,0
2000-07-10,8.160000,8.183000,8.114700,8.154100,8.154100,0
2000-07-17,8.156000,8.200800,8.139000,8.182500,8.182500,0
2000-07-24,8.179000,8.223300,8.148500,8.175000,8.175000,0
2000-07-31,8.175000,8.221000,8.061100,8.115000,8.115000,0
2000-08-07,8.115000,8.191500,8.002400,8.078000,8.078000,0
2000-08-14,8.078000,8.191000,8.014200,8.078000,8.078000,0
2000-08-21,8.078000,8.149100,8.029500,8.096000,8.096000,0
2000-08-28,8.096000,8.166900,8.041000,8.086100,8.086100,0
2000-09-04,8.086900,8.108000,7.997000,8.035000,8.035000,0
2000-09-11,8.035000,8.077600,7.920000,8.021000,8.021000,0
2000-09-18,8.021000,8.057000,7.921200,8.020000,8.020000,0
2000-09-25,8.020000,8.075000,7.938800,8.012000,8.012000,0
2000-10-02,8.012000,8.059900,7.997700,8.032000,8.032000,0
2000-10-09,8.032000,8.097500,8.013300,8.035000,8.035000,0
2000-10-16,8.035000,8.062400,7.960000,7.978000,7.978000,0
2000-10-23,7.978000,7.988800,7.910000,7.938100,7.938100,0
2000-10-30,7.927500,8.068200,7.841700,7.936000,7.936000,0
2000-11-06,7.936000,8.082300,7.926400,7.948000,7.948000,0
2000-11-13,7.948000,8.083400,7.941000,8.006000,8.006000,0
2000-11-20,8.006000,8.098900,7.913000,7.929300,7.929300,0
2000-11-27,8.007300,8.107000,7.908600,8.100300,8.100300,0
2000-12-04,8.102500,8.153000,8.031000,8.084000,8.084000,0
2000-12-11,8.084000,8.157000,8.059200,8.110000,8.110000,0
2000-12-18,8.110000,8.202000,8.056300,8.181200,8.181200,0
2000-12-25,8.181000,8.288000,8.117600,8.240000,8.240000,0
2001-01-01,8.240000,8.330000,8.240000,8.273000,8.273000,0
2001-01-08,8.273000,8.301100,8.160700,8.209000,8.209000,0
2001-01-15,8.209000,8.295000,7.200000,8.272500,8.272500,0
2001-01-22,8.270000,8.281100,8.183000,8.207000,8.207000,0
2001-01-29,8.206600,8.238000,8.170300,8.196000,8.196000,0
2001-02-05,8.196000,8.208000,8.141000,8.175000,8.175000,0
2001-02-12,8.175000,8.226000,8.169000,8.175000,8.175000,0
2001-02-19,8.189000,8.269000,8.168500,8.244000,8.244000,0
2001-02-26,8.244000,8.254900,8.200500,8.233000,8.233000,0
2001-03-05,8.233000,8.237000,8.175000,8.190000,8.190000,0
